Judge,Business On Date,Hearing Date,Purpose of hearing

"Joint Civil Judge (Sr. Div.),Port Blair",29-01-2024,26-02-2024, For hearing
"Joint Civil Judge (Sr. Div.),Port Blair",26-02-2024,25-04-2024, For comply order
"Joint Civil Judge (Sr. Div.),Port Blair",25-04-2024,24-07-2024," S/R, A/C"
